"","kfmid","pxid"
"1191",4,75525
"1192",4,75526
"1193",4,75527
"1194",4,75528
"1195",4,75529
"1196",4,75530
"1197",4,75531
"1198",4,75532
"1199",4,75533
"1200",4,75534
"1201",4,75535
"1202",4,75536
"1203",4,75537
"1204",4,75538
"1205",4,75539
"1206",4,75540
"1207",4,75541
"1208",4,75591
"1209",4,75592
"1210",4,75593
"1211",4,75594
"1212",4,75595
"1213",4,75596
"1214",4,75597
"1215",4,75598
"1216",4,75599
"1217",4,75600
"1218",4,75601
"1219",4,75602
"1220",4,75603
"1221",4,75604
"1222",4,75605
"1223",4,75606
"1224",4,75607
"1225",4,75608
"1226",4,75609
"1227",4,75610
"1228",4,75660
"1229",4,75661
"1230",4,75662
"1231",4,75663
"1232",4,75664
"1233",4,75665
"1234",4,75666
"1235",4,75667
"1236",4,75668
"1237",4,75669
"1238",4,75670
"1239",4,75671
"1240",4,75672
"1241",4,75673
"1242",4,75674
"1243",4,75675
"1244",4,75676
"1245",4,75677
"1246",4,75678
"1247",4,75679
"1248",4,75680
"1249",4,75727
"1250",4,75728
"1251",4,75729
"1252",4,75730
"1253",4,75731
"1254",4,75732
"1255",4,75733
"1256",4,75734
"1257",4,75735
"1258",4,75736
"1259",4,75737
"1260",4,75738
"1261",4,75739
"1262",4,75740
"1263",4,75741
"1264",4,75742
"1265",4,75743
"1266",4,75744
"1267",4,75745
"1268",4,75746
"1269",4,75747
"1270",4,75788
"1271",4,75789
"1272",4,75790
"1273",4,75791
"1274",4,75792
"1275",4,75793
"1276",4,75794
"1277",4,75795
"1278",4,75796
"1279",4,75797
"1280",4,75798
"1281",4,75799
"1282",4,75800
"1283",4,75801
"1284",4,75802
"1285",4,75803
"1286",4,75804
"1287",4,75805
"1288",4,75806
"1289",4,75807
"1290",4,75808
"1291",4,75809
"1292",4,75810
"1293",4,75850
"1294",4,75851
"1295",4,75852
"1296",4,75853
"1297",4,75854
"1298",4,75855
"1299",4,75856
"1300",4,75857
"1301",4,75858
"1302",4,75859
"1303",4,75860
"1304",4,75861
"1305",4,75862
"1306",4,75863
"1307",4,75864
"1308",4,75865
"1309",4,75866
"1310",4,75867
"1311",4,75868
"1312",4,75869
"1313",4,75870
"1314",4,75871
"1315",4,75872
"1316",4,75914
"1317",4,75915
"1318",4,75916
"1319",4,75917
"1320",4,75918
"1321",4,75919
"1322",4,75920
"1323",4,75921
"1324",4,75922
"1325",4,75923
"1326",4,75924
"1327",4,75925
"1328",4,75926
"1329",4,75927
"1330",4,75928
"1331",4,75929
"1332",4,75930
"1333",4,75931
"1334",4,75932
"1335",4,75972
"1336",4,75973
"1337",4,75974
"1338",4,75975
"1339",4,75976
"1340",4,75977
"1341",4,75978
"1342",4,75979
"1343",4,75980
"1344",4,75981
"1345",4,75982
"1346",4,75983
"1347",4,75984
"1348",4,75985
"1349",4,75986
"1350",4,75987
"1351",4,75988
"1352",4,76025
"1353",4,76026
"1354",4,76027
"1355",4,76028
"1356",4,76029
"1357",4,76030
"1358",4,76031
"1359",4,76032
"1360",4,76033
